,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
150,MCT-PLS13 ,1,2017,15,28,0,0,0,1F-4
151,CIV-PLS13 ,1,2017,16,20,0,22,45,3F-2
152,IND-PLS13 ,1,2017,17,17,0,25,0,2F-2
153,CIV-PLS13 ,1,2017,18,17,0,0,0,2F-2
154,MEC-PLS13 ,0,2017,10,12,0,10,31,3F-1
155,MEC-PLS13 ,0,0,14,11,0,14,12,
156,ELE-PLS13 ,0,2016,10,0,0,22,0,2F-1
157,MEC-PLS13 ,0,0,3,2,0,0,0,
158,CIV-PLS13 ,1,2017,6,25,0,30,0,2F-3
159,CIV-PLS13 ,1,2017,10,18,0,40,0,2F-4
160,CIV-PLS13 ,1,2017,13,24,0,0,0,1F-3
161,ELE-PLS13 ,0,0,0,0,0,0,0,
162,CIV-PLS13 ,0,0,3,16,0,14,23,
163,MCT-PLS13 ,1,2017,10,15,0,32,0,2F-2
164,ELE-PLS13 ,1,2017,14,22,0,0,0,1F-2
165,ELE-PLS13 ,1,2016,6,14,0,0,0,"1F-1,2F-2"
166,ELE-PLS13 ,0,0,13,0,0,0,0,
167,CIV-PLS13 ,0,0,5,2,0,0,0,
168,IND-PLS13 ,0,0,3,12,0,14,0,
169,MCT-PLS13 ,0,0,10,7,0,0,0,
170,CIV-PLS13 ,1,2017,17,25,0,0,0,1F-3
171,CIV-PLS13 ,0,2017,15,25,0,0,0,"1F-1,3F-1"
172,MCT-PLS13 ,1,2017,20,26,0,0,0,1F-3
173,ELE-PLS13 ,1,2017,11,14,0,38,0,2F-3
174,CIV-PLS13 ,0,2016,8,23,0,22,31,3F-1
175,MCT-PLS13 ,0,2017,17,12,0,16,20,3F-1
176,IND-PLS13 ,1,2017,20,24,0,0,0,1F-3
177,CIV-PLS13 ,1,2017,14,25,0,0,0,1F-2
178,MEC-PLS13 ,0,0,18,5,0,18,24,
179,ELE-PLS13 ,0,2017,8,17,0,18,40,3F-1
180,ELE-PLS13 ,1,2017,17,25,0,0,0,1F-4
181,CIV-PLS13 ,0,2017,12,8,0,10,32,3F-1
182,ELE-PLS13 ,1,2017,19,16,0,0,0,1F-3
183,MCT-PLS13 ,0,2017,19,16,0,0,0,
184,MCT-PLS13 ,1,2017,17,25,0,0,0,1F-5
185,CIV-PLS13 ,0,2017,4,13,0,10,30,3F-1
186,MCT-PLS13 ,1,2017,17,19,0,0,0,1F-2
187,CIV-PLS13 ,0,0,5,11,0,3,12,
188,CIV-PLS13 ,0,0,9,1,0,0,0,
189,MCT-PLS13 ,0,2017,8,17,0,18,34,3F-1
190,CIV-PLS13 ,1,2017,8,27,0,0,0,1F-2
191,IND-PLS13 ,0,0,4,11,0,22,8,
192,CIV-PLS13 ,0,0,7,11,0,5,8,
193,ELE-PLS13 ,0,0,6,7,0,0,0,
194,CIV-PLS13 ,1,2017,19,32,0,0,0,2F-5
195,CIV-PLS13 ,0,2016,5,24,0,0,0,1F-1
196,ELE-PLS13 ,0,0,5,17,0,22,10,
197,CIV-PLS13 ,0,0,0,0,0,0,0,
198,CIV-PLS13 ,0,0,1,0,0,0,0,
199,MEC-PLS13 ,1,2017,13,21,0,0,0,1F-2
200,CIV-PLS13 ,0,0,3,10,0,0,0,
201,ELE-PLS13 ,0,2017,11,19,0,0,0,"1F-1,2F-1,3F-1"
202,IND-PLS13 ,0,0,7,5,0,0,0,
203,CIV-PLS13 ,0,0,7,0,0,0,0,
204,CIV-PLS13 ,1,2017,16,15,0,0,0,"1F-1,2F-1,3F-2"
205,CIV-PLS13 ,0,0,9,3,0,0,0,
206,MCT-PLS13 ,0,2016,10,8,0,0,12,"1F-1,3F-1"
207,IND-PLS13 ,0,0,0,0,0,0,0,
208,CIV-PLS13 ,0,0,5,15,0,0,12,
209,ELE-PLS13 ,0,0,0,10,0,0,0,
210,MCT-PLS13 ,1,2016,6,0,0,0,0,"1F-1,2F-2"
211,CIV-PLS13 ,0,0,3,16,0,16,10,
212,MCT-PLS13 ,0,2017,19,10,0,20,33,3F-1
213,CIV-PLS13 ,0,0,0,8,0,0,0,
214,ELE-PLS13 ,0,0,10,16,0,23,26,
215,MCT-PLS13 ,0,0,5,16,0,6,26,
216,CIV-PLS13 ,0,0,13,6,0,20,22,
217,CIV-PLS13 ,0,0,12,3,0,12,14,
218,MCT-PLS13 ,0,0,5,10,0,0,4,
219,CIV-PLS13 ,0,0,16,10,0,26,16,
220,CIV-PLS13 ,1,2016,16,30,0,0,0,1F-4
221,MCT-PLS13 ,1,2017,22,23,0,0,0,1F-4
222,ELE-PLS13 ,1,2017,14,7,0,18,31,3F-2
223,CIV-PLS13 ,0,0,6,0,0,0,0,
224,MEC-PLS13 ,0,0,12,8,0,0,8,
225,MCT-PLS13 ,1,2017,18,14,0,0,0,"1F-1,2F-2"
226,MEC-PLS13 ,0,0,8,14,0,8,14,
227,CIV-PLS13 ,0,2017,16,20,0,0,0,"1F-1,2F-1,3F-1"
228,IND-PLS13 ,0,2017,14,10,0,22,38,3F-1
229,MEC-PLS13 ,0,0,8,16,0,5,8,
230,ELE-PLS13 ,1,2017,14,25,0,0,0,1F-2
231,MCT-PLS13 ,0,0,0,0,0,0,0,
232,MCT-PLS13 ,0,0,11,7,0,10,0,
233,ELE-PLS13 ,0,0,6,6,0,0,0,
234,IND-PLS13 ,0,0,13,14,0,16,0,
235,CIV-PLS13 ,0,0,4,12,0,23,21,
236,CIV-PLS13 ,0,0,4,12,0,9,18,
237,ELE-PLS13 ,0,0,7,8,0,12,0,
238,IND-PLS13 ,0,0,1,12,0,0,0,
239,CIV-PLS13 ,0,0,7,12,0,8,20,
240,IND-PLS13 ,1,2017,13,17,0,0,0,1F-3
241,IND-PLS13 ,1,2017,14,24,0,0,0,1F-2
242,MCT-PLS13 ,0,2016,0,0,0,0,8,3F-1
243,MCT-PLS13 ,0,0,10,17,0,0,16,
244,IND-PLS13 ,0,0,0,0,0,0,0,
245,ELE-PLS13 ,0,0,8,2,0,0,0,
246,IND-PLS13 ,0,2017,13,21,0,0,0,"1F-1,2F-1,3F-1"
247,MCT-PLS13 ,1,2016,16,26,0,0,0,1F-3
248,IND-PLS13 ,0,0,0,0,0,0,0,
249,IND-PLS13 ,1,2017,16,21,0,0,0,1F-2
250,MCT-PLS13 ,0,0,7,14,0,22,24,
251,CIV-PLS13 ,0,2016,9,15,0,15,28,3F-1
252,CIV-PLS13 ,1,2017,15,24,0,0,0,1F-3
253,CIV-PLS13 ,1,2017,15,29,0,0,0,1F-5
254,IND-PLS13 ,0,0,11,11,0,6,10,
255,MCT-PLS13 ,0,0,8,10,0,6,24,
256,IND-PLS13 ,0,0,9,2,0,0,0,
257,CIV-PLS13 ,0,0,0,0,0,0,0,
258,CIV-PLS13 ,0,0,4,11,0,26,22,
259,ELE-PLS13 ,1,2017,17,22,0,0,0,1F-4
260,MCT-PLS13 ,0,0,10,0,0,0,0,
261,MCT-PLS13 ,0,0,0,0,0,0,0,
262,MCT-PLS13 ,1,2017,16,19,0,16,0,2F-4
263,IND-PLS13 ,0,0,5,20,0,19,28,
264,CIV-PLS13 ,0,0,5,6,0,0,0,
265,CIV-PLS13 ,0,0,5,13,0,30,24,
266,MEC-PLS13 ,0,2017,11,17,0,0,0,
267,CIV-PLS13 ,0,0,6,10,0,14,12,
268,ELE-PLS13 ,0,0,4,13,0,12,14,
269,CIV-PLS13 ,0,2017,10,20,0,0,26,"1F-1,3F-1"
270,ELE-PLS13 ,0,0,4,0,0,0,0,
271,CIV-PLS13 ,0,2017,15,5,0,12,27,3F-1
272,MCT-PLS13 ,0,0,5,10,0,12,16,
273,CIV-PLS13 ,0,0,6,4,0,0,0,
274,CIV-PLS13 ,0,0,10,17,0,20,12,
